Y,X,time,lat,lon,RR
4429500.0,5000500.0,2018-04-26,62.392517,23.1715,5.3
4429500.0,5001500.0,2018-04-26,62.39084,23.190426,5.5
4429500.0,5002500.0,2018-04-26,62.389156,23.209349,5.7
4429500.0,5003500.0,2018-04-26,62.38747,23.22827,6.0
4429500.0,5004500.0,2018-04-26,62.385784,23.24719,6.2
4429500.0,5005500.0,2018-04-26,62.384098,23.266108,6.4
4429500.0,5006500.0,2018-04-26,62.382404,23.285025,6.6
4429500.0,5007500.0,2018-04-26,62.38071,23.303938,6.9
4429500.0,5008500.0,2018-04-26,62.379017,23.32285,7.1
4429500.0,5009500.0,2018-04-26,62.37732,23.34176,7.3
4429500.0,5010500.0,2018-04-26,62.375618,23.360668,11.6
4429500.0,5011500.0,2018-04-26,62.373913,23.379574,11.6
4429500.0,5012500.0,2018-04-26,62.372208,23.398478,11.6
4429500.0,5013500.0,2018-04-26,62.370502,23.41738,11.8
4429500.0,5014500.0,2018-04-26,62.36879,23.43628,11.9
4429500.0,5015500.0,2018-04-26,62.367077,23.455177,11.9
4429500.0,5016500.0,2018-04-26,62.365364,23.474073,11.9
4429500.0,5017500.0,2018-04-26,62.363647,23.492968,11.8
4429500.0,5018500.0,2018-04-26,62.361927,23.51186,11.8
4429500.0,5019500.0,2018-04-26,62.360203,23.53075,11.7
4428500.0,5000500.0,2018-04-26,62.383694,23.167662,5.3
4428500.0,5001500.0,2018-04-26,62.382015,23.18658,5.5
4428500.0,5002500.0,2018-04-26,62.380333,23.2055,5.7
4428500.0,5003500.0,2018-04-26,62.37865,23.224417,6.0
4428500.0,5004500.0,2018-04-26,62.376965,23.243332,6.2
4428500.0,5005500.0,2018-04-26,62.375275,23.262243,6.4
4428500.0,5006500.0,2018-04-26,62.373585,23.281155,6.6
4428500.0,5007500.0,2018-04-26,62.37189,23.300062,6.8
4428500.0,5008500.0,2018-04-26,62.370193,23.31897,7.1
4428500.0,5009500.0,2018-04-26,62.3685,23.337875,11.5
4428500.0,5010500.0,2018-04-26,62.3668,23.356777,11.4
4428500.0,5011500.0,2018-04-26,62.365093,23.375677,11.4
4428500.0,5012500.0,2018-04-26,62.36339,23.394577,11.3
4428500.0,5013500.0,2018-04-26,62.361683,23.413473,11.5
4428500.0,5014500.0,2018-04-26,62.359974,23.43237,11.6
4428500.0,5015500.0,2018-04-26,62.35826,23.451262,11.7
4428500.0,5016500.0,2018-04-26,62.35655,23.470154,11.7
4428500.0,5017500.0,2018-04-26,62.35483,23.489042,11.7
4428500.0,5018500.0,2018-04-26,62.35311,23.507929,11.6
4428500.0,5019500.0,2018-04-26,62.35139,23.526814,11.5
4427500.0,5000500.0,2018-04-26,62.374866,23.163824,5.3
4427500.0,5001500.0,2018-04-26,62.373188,23.18274,5.5
4427500.0,5002500.0,2018-04-26,62.37151,23.201654,5.7
4427500.0,5003500.0,2018-04-26,62.369823,23.220566,6.0
4427500.0,5004500.0,2018-04-26,62.36814,23.239475,6.2
4427500.0,5005500.0,2018-04-26,62.36645,23.258383,6.4
4427500.0,5006500.0,2018-04-26,62.36476,23.277288,6.6
4427500.0,5007500.0,2018-04-26,62.363068,23.29619,6.8
4427500.0,5008500.0,2018-04-26,62.361374,23.315092,11.3
4427500.0,5009500.0,2018-04-26,62.359676,23.333992,11.3
4427500.0,5010500.0,2018-04-26,62.35798,23.35289,11.2
4427500.0,5011500.0,2018-04-26,62.356277,23.371786,11.2
4427500.0,5012500.0,2018-04-26,62.354572,23.390678,11.2
4427500.0,5013500.0,2018-04-26,62.352863,23.40957,11.4
4427500.0,5014500.0,2018-04-26,62.351154,23.428461,11.4
4427500.0,5015500.0,2018-04-26,62.349445,23.44735,11.4
4427500.0,5016500.0,2018-04-26,62.34773,23.466234,11.4
4427500.0,5017500.0,2018-04-26,62.346012,23.485119,11.4
4427500.0,5018500.0,2018-04-26,62.344296,23.504,11.4
4427500.0,5019500.0,2018-04-26,62.342575,23.52288,11.3
4426500.0,5000500.0,2018-04-26,62.366043,23.159992,5.3
4426500.0,5001500.0,2018-04-26,62.364365,23.178902,5.5
4426500.0,5002500.0,2018-04-26,62.362682,23.19781,5.7
4426500.0,5003500.0,2018-04-26,62.361004,23.216717,6.0
4426500.0,5004500.0,2018-04-26,62.359318,23.23562,6.2
4426500.0,5005500.0,2018-04-26,62.35763,23.254522,6.4
4426500.0,5006500.0,2018-04-26,62.35594,23.273422,6.6
4426500.0,5007500.0,2018-04-26,62.354248,23.292322,11.0
4426500.0,5008500.0,2018-04-26,62.352554,23.311218,11.1
4426500.0,5009500.0,2018-04-26,62.350857,23.330112,11.1
4426500.0,5010500.0,2018-04-26,62.34916,23.349005,11.0
4426500.0,5011500.0,2018-04-26,62.347458,23.367895,11.1
4426500.0,5012500.0,2018-04-26,62.345753,23.386784,11.1
4426500.0,5013500.0,2018-04-26,62.344048,23.40567,11.2
4426500.0,5014500.0,2018-04-26,62.34234,23.424555,11.2
4426500.0,5015500.0,2018-04-26,62.340626,23.443438,11.2
4426500.0,5016500.0,2018-04-26,62.338913,23.462318,11.1
4426500.0,5017500.0,2018-04-26,62.337196,23.481197,11.1
4426500.0,5018500.0,2018-04-26,62.33548,23.500074,11.1
4426500.0,5019500.0,2018-04-26,62.33376,23.518948,11.1
4425500.0,5000500.0,2018-04-26,62.357216,23.15616,5.3
4425500.0,5001500.0,2018-04-26,62.35554,23.175066,5.5
4425500.0,5002500.0,2018-04-26,62.35386,23.19397,5.7
4425500.0,5003500.0,2018-04-26,62.352177,23.21287,5.9
